Location,Device_ID,Meter_Name,Time,Model,Watts_Total,Watts_R_Ph,Watts_Y_Ph,Watts_B_Ph,PF_Ave,PF_R_Ph,PF_Y_Ph,PF_B_Ph,VLN_average,V_R_Ph,V_Y_Ph,V_B_Ph,A_average,A_R_Ph,A_Y_Ph,A_B_Ph,Frequency,Wh_received,Load_Hours_Delivered,No_of_interruption,On_Hours,V_R_Harmonics,V_Y_Harmonics,V_B_Harmonics,A_R_Harmonics,A_Y_Harmonics,A_B_Harmonics
KONDRAI,1,TEST 17.08,2025-09-03 14:40:32,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.07,1412.43,173.67,2,186.91,1.31,0.14,0.66,4.50,4.23,7.79
KONDRAI,1,TEST 17.08,2025-09-03 14:48:44,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.99,1172.44,171.07,0,125.86,2.78,4.08,4.14,7.24,2.37,5.34
KONDRAI,1,TEST 17.08,2025-09-03 14:52:07,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.16,1583.07,114.74,1,139.20,4.26,3.30,1.06,6.59,2.13,6.59
KONDRAI,1,TEST 17.08,2025-09-03 14:52:50,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.43,1148.70,157.04,2,150.70,1.47,2.80,1.38,0.32,1.85,3.20
KONDRAI,1,TEST 17.08,2025-09-03 15:01:01,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.49,1734.85,159.28,1,123.05,2.07,2.83,3.88,5.73,1.95,2.51
KONDRAI,1,TEST 17.08,2025-09-03 15:01:33,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.50,1391.89,162.05,2,129.56,0.44,4.22,1.56,3.23,6.46,7.80
KONDRAI,1,TEST 17.08,2025-09-03 15:05:06,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.78,1459.26,151.70,0,199.86,1.30,4.67,4.23,1.31,2.75,6.47
KONDRAI,1,TEST 17.08,2025-09-03 15:08:29,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.17,1317.04,198.67,2,188.62,4.53,3.83,1.04,7.62,1.26,7.56
KONDRAI,1,TEST 17.08,2025-09-03 15:09:00,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.52,1917.36,164.97,1,164.17,3.48,2.51,4.26,3.20,0.64,1.20
KONDRAI,1,TEST 17.08,2025-09-03 15:10:11,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.79,1628,153.61,2,131.69,2.39,1.20,3.51,6.51,0.13,6.83
KONDRAI,1,TEST 17.08,2025-09-03 15:10:16,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.78,1630.76,153.66,2,131.70,3.71,4.84,1.15,7.93,3.57,3.31
KONDRAI,1,TEST 17.08,2025-09-03 15:10:21,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.83,1633.43,153.71,0,131.73,1.30,1.59,1.56,2.85,1.92,3.20
KONDRAI,1,TEST 17.08,2025-09-03 15:10:26,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.44,1635.77,153.73,2,131.75,4.49,4.14,0.50,0.14,2.91,2.36
KONDRAI,1,TEST 17.08,2025-09-03 15:12:17,LG6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.94,1894.69,140.42,2,161.76,4.60,2.13,1.58,4.98,4.29,0.58
