Location,Device_ID,Meter_Name,Time,Model,Watts_Total,Watts_R_Ph,Watts_Y_Ph,Watts_B_Ph,PF_Ave,PF_R_Ph,PF_Y_Ph,PF_B_Ph,VLN_average,V_R_Ph,V_Y_Ph,V_B_Ph,A_average,A_R_Ph,A_Y_Ph,A_B_Ph,Frequency,Wh_received,Load_Hours_Delivered,No_of_interruption,On_Hours,V_R_Harmonics,V_Y_Harmonics,V_B_Harmonics,A_R_Harmonics,A_Y_Harmonics,A_B_Harmonics
LAUNDROMAT,1,M3_1,2025-09-03 15:21:19,LG6400,2042.35,907.80,985.14,149.41,0.98,0.99,0.95,0.99,228.30,229.30,229.41,226.18,3.06,4,4.52,0.67,49.61,1925.24,134.04,1,166.44,1.20,2.97,3.59,6.21,6,5.92
LAUNDROMAT,2,M3_2,2025-09-03 15:21:19,LG6400,1093.75,227.97,540.62,325.16,0.98,0.98,0.98,0.99,214.99,211.87,222.11,210.98,1.71,1.10,2.49,1.55,50.08,1759.14,190.46,0,175.52,0.65,0.55,0.25,0.88,4.41,5.29
LAUNDROMAT,1,M3_1,2025-09-03 15:21:24,LG6400,2298.23,938.34,1005.71,354.19,0.96,0.96,0.95,0.98,222.42,220.65,219.91,226.71,3.61,4.45,4.79,1.59,50.46,1929.96,134.05,0,166.48,0.67,4.18,1.70,5.94,7.37,3.52
LAUNDROMAT,2,M3_2,2025-09-03 15:21:24,LG6400,1827,775.15,504.90,546.95,0.98,0.99,0.97,0.98,220.69,214.49,225.34,222.25,2.83,3.67,2.31,2.51,50.19,1760.85,190.50,0,175.56,1.56,2.69,0.90,2.40,2.11,1.24
LAUNDROMAT,1,M3_1,2025-09-03 15:21:29,LG6400,2578.09,1079.92,1149.50,348.67,0.98,1,0.97,0.97,228.59,238.44,222.65,224.68,3.82,4.55,5.30,1.61,50.45,1932.05,134.10,1,166.52,4.14,0.31,2.76,5.16,4.20,4.72
LAUNDROMAT,2,M3_2,2025-09-03 15:21:29,LG6400,2096.31,1138.46,545.41,412.44,0.96,0.95,0.97,0.95,224.76,217.03,227.41,229.84,3.29,5.51,2.48,1.89,49.51,1765.17,190.54,0,175.58,4.28,1.79,2.37,6.34,2.86,4.95
LAUNDROMAT,1,M3_1,2025-09-03 15:21:34,LG6400,1950.30,157.54,406.41,1386.35,0.97,0.96,1,0.97,231.11,222.53,237.86,232.96,2.87,0.74,1.72,6.15,49.86,1934.71,134.12,0,166.56,0.81,0.20,1.20,6.39,5.51,3.87
LAUNDROMAT,2,M3_2,2025-09-03 15:21:34,LG6400,2459.79,1161.85,242.44,1055.50,0.98,1,0.95,0.97,230.56,227.68,225.92,238.07,3.60,5.10,1.12,4.56,50.40,1766.77,190.56,1,175.63,1.64,1.93,4.93,2.24,2.92,4.98
LAUNDROMAT,1,M3_1,2025-09-03 15:21:40,LG6400,3218.84,1383.07,1143.28,692.50,1,0.99,1,1,220.91,222.05,210.16,230.51,4.91,6.26,5.46,3.01,49.65,1939.12,134.15,1,166.61,0.38,1.05,2.67,4.13,4.33,6.64
LAUNDROMAT,2,M3_2,2025-09-03 15:21:40,LG6400,1964.68,1069.48,186.23,708.97,0.98,0.99,0.98,0.99,229.65,233.83,221.77,233.36,2.85,4.63,0.86,3.07,49.91,1770.32,190.60,0,175.64,1.42,2.62,1.29,5.65,4.30,6.22
LAUNDROMAT,1,M3_1,2025-09-03 15:21:45,LG6400,1913.87,308.74,1247.35,357.78,0.97,0.96,0.98,0.97,230.73,239.12,221.17,231.89,2.90,1.35,5.75,1.60,49.71,1943.12,134.18,1,166.65,3.96,4.30,3.40,1.24,5.70,6.85
LAUNDROMAT,2,M3_2,2025-09-03 15:21:45,LG6400,2815.89,591.31,1210.71,1013.87,0.98,0.97,0.99,0.99,225.49,215.63,232.53,228.31,4.19,2.81,5.27,4.50,49.94,1774.65,190.65,1,175.67,0.82,0.64,3.18,6.89,1.33,1.15
LAUNDROMAT,1,M3_1,2025-09-03 15:21:50,LG6400,3126.36,1214.14,983.83,928.39,0.97,0.98,0.98,0.96,225.58,219.78,220.82,236.15,4.77,5.64,4.57,4.10,50.44,1946.06,134.19,1,166.66,1.73,0.15,4.51,6.25,7.95,2.29
LAUNDROMAT,2,M3_2,2025-09-03 15:21:50,LG6400,1411.27,345.05,1038.52,27.70,0.98,0.98,0.98,0.98,226.39,224,227.13,228.03,2.13,1.57,4.68,0.12,49.84,1775.80,190.68,0,175.70,2.10,2.22,1.61,6.55,5.78,3.09
LAUNDROMAT,1,M3_1,2025-09-03 15:21:55,LG6400,2964.54,1217.85,422.89,1323.79,0.98,1,1,0.96,229.92,229.41,223.51,236.84,4.35,5.31,1.90,5.83,50.43,1949.41,134.22,1,166.69,3.63,1,1.81,0.51,6.36,4.61
LAUNDROMAT,2,M3_2,2025-09-03 15:21:55,LG6400,2012.70,1319.97,637.36,55.38,0.98,0.97,1,0.96,223.38,225.96,210.68,233.50,3.10,6.01,3.04,0.25,49.94,1777.02,190.70,1,175.72,4.93,2.84,4.61,3.85,5.90,4.56
LAUNDROMAT,1,M3_1,2025-09-03 15:22:00,LG6400,1058.01,709.03,230.79,118.19,0.97,0.99,0.96,0.96,229.78,226.04,229.67,233.61,1.58,3.17,1.04,0.52,49.92,1953.75,134.23,0,166.72,1.35,3.21,3.03,2.87,7.64,7.20
LAUNDROMAT,2,M3_2,2025-09-03 15:22:00,LG6400,1774.06,547.78,232.38,993.90,0.96,0.98,0.96,0.96,218.39,212.06,224.17,218.94,2.82,2.65,1.08,4.74,50.13,1780.32,190.71,1,175.75,1.16,4.86,1.51,7.21,5.07,4.51
LAUNDROMAT,1,M3_1,2025-09-03 15:22:05,LG6400,1195.52,218.07,766.19,211.26,0.98,0.98,0.98,0.98,225.66,226.13,227.54,223.32,1.80,0.98,3.44,0.97,49.55,1955.76,134.28,0,166.76,4.32,2.57,3.30,5.51,7.19,3.47
LAUNDROMAT,2,M3_2,2025-09-03 15:22:05,LG6400,1521.67,97.31,729.38,694.98,0.96,0.96,0.97,0.96,229.06,233.25,219.06,234.88,2.31,0.44,3.42,3.08,49.91,1784.20,190.76,1,175.76,0.86,2.42,4.29,1.22,0.78,5.57
LAUNDROMAT,1,M3_1,2025-09-03 15:22:10,LG6400,3810.68,1311.57,1402.12,1096.99,0.97,0.98,0.95,0.98,231.70,228.39,236.53,230.16,5.65,5.86,6.23,4.87,49.88,1957.17,134.31,0,166.80,3.29,3.21,0.94,4.97,4.56,6.98
LAUNDROMAT,2,M3_2,2025-09-03 15:22:10,LG6400,1882.75,715.09,258.89,908.77,0.98,0.99,0.96,0.99,225.92,238.17,225.42,214.17,2.85,3.04,1.20,4.30,50.18,1788.49,190.79,1,175.78,2.53,3.24,4.51,1.42,6.28,7.74
