Location,Device_ID,Meter_Name,Time,Model,Watts_Total,Watts_R_Ph,Watts_Y_Ph,Watts_B_Ph,PF_Ave,PF_R_Ph,PF_Y_Ph,PF_B_Ph,VLN_average,V_R_Ph,V_Y_Ph,V_B_Ph,A_average,A_R_Ph,A_Y_Ph,A_B_Ph,Frequency,Wh_received,Load_Hours_Delivered,No_of_interruption,On_Hours,V_R_Harmonics,V_Y_Harmonics,V_B_Harmonics,A_R_Harmonics,A_Y_Harmonics,A_B_Harmonics
SEVANTHI,1,M2_1,2025-09-03 15:21:19,LG6400,2576.21,370.80,1050.01,1155.41,0.98,1,0.97,0.98,227.27,232.20,213.44,236.18,3.88,1.60,5.05,4.99,50.19,1383.49,180.39,0,136.59,3.44,3.80,3.04,0.62,0.22,5.58
SEVANTHI,2,M2_2,2025-09-03 15:21:19,LG6400,3298.11,1346.09,1115.38,836.64,0.99,1,0.98,0.99,226.37,224.85,228.94,225.31,4.91,6,4.97,3.77,49.60,1908.48,183.21,1,186.79,0.18,0.41,4.81,2.34,7.56,3.24
SEVANTHI,1,M2_1,2025-09-03 15:21:24,LG6400,1536.08,156.55,557.49,822.05,0.98,0.99,0.96,0.97,221.49,219.49,212.07,232.91,2.36,0.72,2.74,3.62,49.84,1387.91,180.44,1,136.63,3.33,0.21,1.99,1.03,1.47,0.27
SEVANTHI,2,M2_2,2025-09-03 15:21:24,LG6400,3621.82,1375.97,843.35,1402.49,0.98,0.98,0.98,0.99,227.52,228.79,220.33,233.45,5.38,6.16,3.91,6.07,49.81,1912.48,183.24,0,186.82,3.73,3.99,4.66,2.09,6.69,5.48
SEVANTHI,1,M2_1,2025-09-03 15:21:29,LG6400,1560.40,29.64,833.16,697.60,0.97,0.97,0.99,0.95,227.73,234.67,227.26,221.26,2.38,0.13,3.70,3.31,50.39,1390.15,180.45,0,136.66,1.47,4.25,2.47,4.84,6.75,3.45
SEVANTHI,2,M2_2,2025-09-03 15:21:29,LG6400,2699.84,1029.47,1057.84,612.52,0.99,0.99,1,0.97,225.75,239.04,220.71,217.51,4.02,4.35,4.82,2.90,50.14,1913.60,183.28,1,186.85,2.04,0.59,3.34,0.27,6.95,6.74
SEVANTHI,1,M2_1,2025-09-03 15:21:34,LG6400,1425.26,640.88,696.81,87.57,0.98,0.98,0.99,0.97,218.37,211,212.90,231.20,2.26,3.09,3.29,0.39,50.46,1392.03,180.47,1,136.69,4.43,4.81,2.42,3.73,3.30,7.31
SEVANTHI,2,M2_2,2025-09-03 15:21:34,LG6400,3128.23,1306.72,1126.34,695.18,0.98,0.99,0.97,0.97,224.29,228.04,225.73,219.10,4.72,5.77,5.14,3.25,49.69,1914.81,183.30,0,186.87,2.33,1.33,3.80,7.55,5.99,0.98
SEVANTHI,1,M2_1,2025-09-03 15:21:40,LG6400,1356.64,407.79,947.56,1.29,0.98,0.99,0.99,0.97,227.92,213.39,236.70,233.66,1.99,1.93,4.04,0.01,49.77,1394.97,180.51,1,136.72,3.77,4.06,1.22,7.36,4.24,2.27
SEVANTHI,2,M2_2,2025-09-03 15:21:40,LG6400,1691.54,868.23,679.53,143.78,0.99,0.98,0.99,1,228.88,213.90,235.83,236.90,2.56,4.14,2.92,0.61,49.97,1919.16,183.33,1,186.89,0.05,4.03,1.80,0.82,2.85,3.76
SEVANTHI,1,M2_1,2025-09-03 15:21:45,LG6400,1978.23,1101.10,545.65,331.47,0.97,0.97,0.99,0.95,224.58,232.05,229.95,211.75,2.98,4.89,2.39,1.65,49.77,1398.53,180.53,0,136.75,4.54,2.17,3.16,2.77,7.21,0.35
SEVANTHI,2,M2_2,2025-09-03 15:21:45,LG6400,2245,1266.61,175.57,802.82,0.98,0.96,0.99,0.99,231.17,232.03,224.77,236.72,3.30,5.68,0.79,3.44,49.72,1922.28,183.38,0,186.91,2.60,2.88,4.46,4.48,7.99,3.86
SEVANTHI,1,M2_1,2025-09-03 15:21:50,LG6400,2154.04,875.63,1069.36,209.05,0.97,0.97,0.96,0.99,225.34,221.87,217.92,236.22,3.37,4.09,5.13,0.90,50.15,1403.37,180.56,1,136.77,2.03,2.05,3.82,2.62,2.34,2.22
SEVANTHI,2,M2_2,2025-09-03 15:21:50,LG6400,3177.12,718.18,1009.70,1449.23,0.98,0.98,0.97,0.98,227.65,226.71,217.72,238.51,4.73,3.24,4.77,6.18,50.17,1923.32,183.40,1,186.93,4.79,0.13,2.99,7.54,7.84,4.37
SEVANTHI,1,M2_1,2025-09-03 15:21:55,LG6400,1688.54,1221.35,244.54,222.65,0.98,0.99,0.97,0.97,228.06,213.37,239.70,231.11,2.60,5.76,1.05,0.99,49.98,1407.52,180.58,0,136.81,1.60,4.73,0.44,5.91,5.38,7.59
SEVANTHI,2,M2_2,2025-09-03 15:21:55,LG6400,2163.24,996.45,374.68,792.10,0.96,0.99,0.95,0.95,221.74,216.58,214.46,234.17,3.35,4.66,1.84,3.54,49.72,1926.82,183.44,1,186.97,1.06,3.02,1,3.99,4.87,5.99
SEVANTHI,1,M2_1,2025-09-03 15:22:00,LG6400,2112.73,1186.63,438.49,487.61,0.98,0.95,0.99,0.98,218.80,215.43,225.92,215.05,3.35,5.77,1.96,2.31,49.56,1410.25,180.59,1,136.82,2.01,2.70,1.59,0.07,3.25,4.53
SEVANTHI,2,M2_2,2025-09-03 15:22:00,LG6400,2634.66,636.33,860.71,1137.63,0.98,1,0.96,0.98,226.79,219.58,230.74,230.04,3.95,2.91,3.88,5.07,50.46,1928.64,183.48,1,187,3.78,2.68,3.52,5.47,5.35,7.42
SEVANTHI,1,M2_1,2025-09-03 15:22:05,LG6400,2625.16,1240.56,279.71,1104.88,0.96,0.96,0.96,0.95,230.22,224.12,228.10,238.44,3.96,5.75,1.27,4.85,50.03,1413.65,180.61,1,136.85,1.45,0.50,1.67,1.90,1.84,4.35
SEVANTHI,2,M2_2,2025-09-03 15:22:05,LG6400,1429.28,556.84,231.33,641.11,0.97,0.97,0.99,0.96,222.77,216.51,233.31,218.49,2.24,2.65,1,3.06,50.03,1932.75,183.51,1,187.03,3.80,0.25,2.43,6.06,4.80,0.13
SEVANTHI,1,M2_1,2025-09-03 15:22:10,LG6400,2876.62,663.37,875.94,1337.32,0.96,0.98,0.96,0.95,226.40,223.42,216.39,239.40,4.37,3.03,4.22,5.87,49.85,1415.99,180.62,0,136.87,3.26,1.30,0.83,3.02,6.93,0.95
SEVANTHI,2,M2_2,2025-09-03 15:22:10,LG6400,2015.94,990.41,707.65,317.88,0.97,0.96,0.99,0.96,217.18,217.61,220.02,213.92,3.17,4.73,3.24,1.55,50.40,1935.61,183.56,1,187.07,3.42,0.16,1.30,0.14,0.24,7.75
SEVANTHI,1,M2_1,2025-09-03 15:22:15,LG6400,2503.24,381.99,1247.58,873.68,0.97,0.95,1,0.96,230.02,233.13,230.33,226.58,3.72,1.72,5.43,4.02,50.40,1417.51,180.67,0,136.91,4.41,4.38,2.56,5.09,4.55,2.48
SEVANTHI,2,M2_2,2025-09-03 15:22:15,LG6400,2697.78,1196.72,619.60,881.46,0.97,0.96,0.99,0.96,222.91,234.47,214.01,220.24,4.14,5.33,2.93,4.17,50.08,1937.07,183.61,1,187.12,1.81,2.10,3.63,4.22,7.16,4.43
SEVANTHI,1,M2_1,2025-09-03 15:22:20,LG6400,1707.56,404.46,660.08,643.03,0.98,0.99,0.95,0.99,234.88,232.51,234.19,237.94,2.48,1.75,2.96,2.73,49.59,1421.51,180.71,0,136.95,4.04,3.62,2.01,6.93,2.46,6.26
