time,meter_name,status,fault_groups
2025-08-29 14:19:24.554194,M1.2,OK,
2025-08-29 14:19:24.554194,M1.3,OK,
2025-08-29 14:19:24.554194,M1.4,OK,
2025-08-29 14:19:24.677576,M2.1,OK,
2025-08-29 14:19:24.677576,M2.2,OK,
2025-08-29 14:19:24.725851,M3.1,OK,
2025-08-29 14:19:24.725851,M3.2,OK,
2025-08-29 14:19:29.777245,M1.1,OK,
2025-08-29 14:19:29.777245,M1.2,OK,
2025-08-29 14:19:29.777245,M1.3,OK,
2025-08-29 14:19:29.777245,M1.4,OK,
2025-08-29 14:19:29.933080,M2.1,OK,
2025-08-29 14:19:29.933080,M2.2,OK,
2025-08-29 14:19:29.982137,M3.1,OK,
2025-08-29 14:19:29.982137,M3.2,OK,
2025-08-29 14:19:35.034908,M1.1,OK,
2025-08-29 14:19:35.034908,M1.2,OK,
2025-08-29 14:19:35.034908,M1.3,OK,
2025-08-29 14:19:35.034908,M1.4,OK,
2025-08-29 14:19:35.175783,M2.1,OK,
2025-08-29 14:19:35.175783,M2.2,OK,
2025-08-29 14:19:35.226700,M3.1,OK,
2025-08-29 14:19:35.226700,M3.2,OK,
2025-08-29 14:19:40.276386,M1.1,OK,
2025-08-29 14:19:40.276386,M1.2,OK,
2025-08-29 14:19:40.276386,M1.3,OK,
2025-08-29 14:19:40.276386,M1.4,OK,
2025-08-29 14:19:40.392063,M2.1,OK,
2025-08-29 14:19:40.392063,M2.2,OK,
2025-08-29 14:19:40.449223,M3.1,OK,
2025-08-29 14:19:40.449223,M3.2,OK,
2025-08-29 14:19:45.504451,M1.1,OK,
2025-08-29 14:19:45.504451,M1.2,OK,
2025-08-29 14:19:45.504451,M1.3,OK,
2025-08-29 14:19:45.504451,M1.4,OK,
2025-08-29 14:19:45.597716,M2.1,OK,
2025-08-29 14:19:45.597716,M2.2,OK,
2025-08-29 14:19:45.643776,M3.1,OK,
2025-08-29 14:19:45.643776,M3.2,OK,
2025-08-29 14:19:50.692248,M1.1,OK,
2025-08-29 14:19:50.692248,M1.2,OK,
2025-08-29 14:19:50.692248,M1.3,OK,
2025-08-29 14:19:50.692248,M1.4,OK,
2025-08-29 14:19:50.790789,M2.1,OK,
2025-08-29 14:19:50.790789,M2.2,OK,
2025-08-29 14:19:50.838531,M3.1,OK,
2025-08-29 14:19:50.838531,M3.2,OK,
2025-08-29 14:19:55.886755,M1.1,OK,
2025-08-29 14:19:55.886755,M1.2,OK,
2025-08-29 14:19:55.886755,M1.3,OK,
2025-08-29 14:19:55.886755,M1.4,OK,
2025-08-29 14:19:56.040510,M2.1,OK,
